seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr2	159314733	159314849	117	*	X0452	130940	159027869	159313265	285397	-	1467	upstream	1467	CCDC148
chr2	170589954	170589975	22	*	X0455	151230	170590356	170608396	18041	+	380	upstream	380	KLHL23
chr2	170590138	170590151	14	*	X0456	151230	170590356	170608396	18041	+	204	upstream	204	KLHL23
chr2	171627674	171627740	67	*	X0457	100505695	171627604	171634757	7154	+	0	inside	69	NA
chr2	172290847	172290926	80	*	X0458	80067	172290727	172341562	50836	+	0	inside	119	DCAF17
chr2	172290963	172291277	315	*	X0459	79828	172173913	172291312	117400	-	0	inside	34	METTL8
chr2	172290963	172291277	315	*	X0459	80067	172290727	172341562	50836	+	0	inside	235	DCAF17
chr2	172949551	172949595	45	*	X0461	1745	172950208	172954401	4194	+	612	upstream	612	DLX1
chr2	172949655	172949665	11	*	X0462	1745	172950208	172954401	4194	+	542	upstream	542	DLX1
chr2	172967283	172967295	13	*	X0463	1746	172964166	172967478	3313	-	0	inside	182	DLX2
chr2	172967360	172967378	19	*	X0464	1746	172964166	172967478	3313	-	0	inside	99	DLX2
chr2	172967486	172967497	12	*	X0465	1746	172964166	172967478	3313	-	7	upstream	7	DLX2
chr2	182756765	182756815	51	*	X0474	6744	182756472	182795464	38993	+	0	inside	292	ITPRID2
chr2	187713590	187713618	29	*	X0480	151112	187692207	187713897	21691	-	0	inside	278	ZSWIM2
chr2	190648958	190648989	32	*	X0482	5378	190648811	190742355	93545	+	0	inside	146	PMS1
chr2	190648958	190648989	32	*	X0482	94101	190634993	190649097	14105	-	0	inside	107	ORMDL1
chr2	191514124	191514137	14	*	X0483	4664	191513848	191557492	43645	+	0	inside	275	NAB1
chr2	198318293	198318418	126	*	X0491	80219	198318231	198339851	21621	+	0	inside	61	COQ10B
chr2	198364408	198364575	168	*	X0492	100529241	198364721	198418423	53703	+	145	upstream	145	HSPE1-MOB4
chr2	198364408	198364575	168	*	X0492	3336	198364721	198368187	3467	+	145	upstream	145	HSPE1
chr2	198380466	198380633	168	*	X0493	25843	198380295	198418423	38129	+	0	inside	170	MOB4
chr2	198570286	198570296	11	*	X0494	92935	198570028	198573114	3087	+	0	inside	257	MARS2
chr2	201729250	201729366	117	*	X0498	1195	201717732	201729467	11736	-	0	inside	100	CLK1
chr2	201753796	201753955	160	*	X0499	53938	201735679	201753849	18171	-	0	overlapStart	0	PPIL3
chr2	201753796	201753955	160	*	X0499	60491	201754050	201768655	14606	+	94	upstream	94	NIF3L1
chr2	201754208	201754224	17	*	X0500	53938	201735679	201753849	18171	-	358	upstream	358	PPIL3
chr2	201754208	201754224	17	*	X0500	60491	201754050	201768655	14606	+	0	inside	157	NIF3L1
chr2	208394763	208394813	51	*	X0504	1385	208394616	208470284	75669	+	0	inside	146	CREB1
chr2	214016271	214016290	20	*	X0505	22807	213864411	214016333	151923	-	0	inside	42	IKZF2
chr2	214016715	214016766	52	*	X0506	22807	213864411	214016333	151923	-	381	upstream	381	IKZF2
chr2	214016786	214017048	263	*	X0507	22807	213864411	214016333	151923	-	452	upstream	452	IKZF2
chr2	216300688	216300703	16	*	X0509	2335	216225179	216300791	75613	-	0	inside	87	FN1
chr2	217363591	217363747	157	*	X0510	6168	217363520	217366188	2669	+	0	inside	70	RPL37A
chr2	219262885	219262914	30	*	X0515	58190	219263061	219270664	7604	+	146	upstream	146	CTDSP1
chr2	219262928	219262939	12	*	X0516	58190	219263061	219270664	7604	+	121	upstream	121	CTDSP1
chr2	219263001	219263029	29	*	X0517	58190	219263061	219270664	7604	+	31	upstream	31	CTDSP1
chr2	219263058	219263110	53	*	X0518	58190	219263061	219270664	7604	+	0	overlapStart	0	CTDSP1
chr2	220042762	220042812	51	*	X0522	27013	220036619	220042732	6114	-	29	upstream	29	CNPPD1
chr2	220042762	220042812	51	*	X0522	79137	220042939	220050197	7259	+	126	upstream	126	RETREG2
chr2	220362522	220362558	37	*	X0523	29926	220363587	220371718	8132	+	1028	upstream	1028	GMPPA
chr2	223725767	223725931	165	*	X0527	2181	223725732	223808119	82388	+	0	inside	34	ACSL3
chr2	232328895	232328952	58	*	X0531	4691	232319459	232329205	9747	-	0	inside	252	NCL
chr2	232328971	232329057	87	*	X0532	4691	232319459	232329205	9747	-	0	inside	147	NCL
chr2	233415099	233415200	102	*	X0538	200765	233412779	233415283	2505	-	0	inside	82	TIGD1
chr2	233415099	233415200	102	*	X0538	9470	233415357	233448349	32993	+	156	upstream	156	EIF4E2
chr2	234160404	234160481	78	*	X0540	55054	234160217	234204320	44104	+	0	inside	186	ATG16L1
chr2	239149545	239149651	107	*	X0541	55502	239146908	239148681	1774	-	863	upstream	863	HES6
chr2	239335698	239335759	62	*	X0542	51665	239335626	239360891	25266	+	0	inside	71	ASB1
chr2	241525643	241525662	20	*	X0543	11132	241526133	241557122	30990	+	470	upstream	470	CAPN10
chr2	242674182	242674500	319	*	X0545	728294	242674030	242708231	34202	+	0	inside	151	D2HGDH
chr3	2140397	2140525	129	*	X0546	152330	2140550	3099645	959096	+	24	upstream	24	CNTN4
chr3	5019981	5020003	23	*	X0547	8553	5021097	5026865	5769	+	1093	upstream	1093	BHLHE40
chr3	5021246	5021285	40	*	X0548	8553	5021097	5026865	5769	+	0	inside	148	BHLHE40
chr3	11761861	11761981	121	*	X0553	9686	11597544	11762220	164677	-	0	inside	238	VGLL4
chr3	11762116	11762284	169	*	X0554	9686	11597544	11762220	164677	-	0	overlapStart	0	VGLL4
chr3	12526057	12526158	102	*	X0555	80746	12525931	12581122	55192	+	0	inside	125	TSEN2
chr3	14166703	14166715	13	*	X0558	131474	14153577	14166371	12795	-	331	upstream	331	CHCHD4
chr3	14166703	14166715	13	*	X0558	79188	14166440	14185180	18741	+	0	inside	262	TMEM43
chr3	14219762	14219905	144	*	X0559	27258	14220228	14239869	19642	+	322	upstream	322	LSM3
chr3	14219762	14219905	144	*	X0559	7508	14186648	14220172	33525	-	0	inside	266	XPC
chr3	14988818	14988843	26	*	X0560	7182	14989236	15090780	101545	+	392	upstream	392	NR2C2
chr3	15643541	15643615	75	*	X0562	26061	15529713	15643130	113418	-	410	upstream	410	HACL1
chr3	23988006	23988030	25	*	X0565	28512	23933572	23988053	54482	-	0	inside	22	NKIRAS1
chr3	23988090	23988117	28	*	X0566	28512	23933572	23988053	54482	-	36	upstream	36	NKIRAS1
chr3	28390307	28390495	189	*	X0568	152098	28390660	28566632	175973	+	164	upstream	164	ZCWPW2
chr3	28390307	28390495	189	*	X0568	64343	28363844	28390618	26775	-	0	inside	122	AZI2
chr3	32612145	32612162	18	*	X0570	51143	32567463	32612366	44904	-	0	inside	203	DYNC1LI1
chr3	32612183	32612219	37	*	X0571	51143	32567463	32612366	44904	-	0	inside	146	DYNC1LI1
chr3	32612234	32612297	64	*	X0572	51143	32567463	32612366	44904	-	0	inside	68	DYNC1LI1
chr3	33138535	33138801	267	*	X0573	2720	33038100	33138694	100595	-	0	overlapStart	0	GLB1
chr3	33138535	33138801	267	*	X0573	643853	33131908	33138314	6407	-	220	upstream	220	TMPPE
chr3	38495198	38495202	5	*	X0575	93	38495790	38534633	38844	+	587	upstream	587	ACVR2B
chr3	44379685	44379755	71	*	X0578	285343	44379611	44450940	71330	+	0	inside	73	TCAIM
chr3	44379775	44379797	23	*	X0579	285343	44379611	44450940	71330	+	0	inside	163	TCAIM
chr3	45730283	45730329	47	*	X0583	22908	45730754	45786900	56147	+	424	upstream	424	SACM1L
chr3	45730283	45730329	47	*	X0583	644714	45719657	45730374	10718	-	0	inside	44	LIMD1-AS1
chr3	45730343	45730453	111	*	X0584	22908	45730754	45786900	56147	+	300	upstream	300	SACM1L
chr3	45730343	45730453	111	*	X0584	644714	45719657	45730374	10718	-	0	overlapStart	0	LIMD1-AS1
chr3	47324251	47324508	258	*	X0586	23276	47324330	47388306	63977	+	0	overlapStart	0	KLHL18
chr3	47324251	47324508	258	*	X0586	64147	47269516	47324337	54822	-	0	overlapStart	0	KIF9
chr3	49132073	49132087	15	*	X0591	54870	49067142	49131504	64363	-	568	upstream	568	QRICH1
chr3	49203752	49203783	32	*	X0592	64925	49199968	49203785	3818	-	0	inside	1	CCDC71
chr3	49203796	49203816	21	*	X0593	64925	49199968	49203785	3818	-	10	upstream	10	CCDC71
chr3	51704894	51704952	59	*	X0595	51368	51705191	51738339	33149	+	238	upstream	238	TEX264
chr3	51705286	51705406	121	*	X0596	51368	51705191	51738339	33149	+	0	inside	94	TEX264
chr3	52312328	52312374	47	*	X0600	80335	52288438	52312659	24222	-	0	inside	284	WDR82
chr3	56716890	56717018	129	*	X0601	23272	56654160	56717135	62976	-	0	inside	116	TASOR
chr3	56717072	56717095	24	*	X0602	23272	56654160	56717135	62976	-	0	inside	39	TASOR
chr3	61547288	61547328	41	*	X0603	5793	61547243	62280573	733331	+	0	inside	44	PTPRG
chr3	66024197	66024239	43	*	X0609	9223	65339906	66024509	684604	-	0	inside	269	MAGI1
chr3	66024410	66024538	129	*	X0610	9223	65339906	66024509	684604	-	0	overlapStart	0	MAGI1
chr3	66025010	66025026	17	*	X0611	9223	65339906	66024509	684604	-	500	upstream	500	MAGI1
chr3	67704637	67705092	456	*	X0612	8801	67410884	67705038	294155	-	0	overlapStart	0	SUCLG2
chr3	69063069	69063183	115	*	X0613	285203	69024368	69062774	38407	-	294	upstream	294	EOGT
chr3	71632657	71633011	355	*	X0614	27086	71003865	71633140	629276	-	0	inside	128	FOXP1
chr3	71633209	71633255	47	*	X0615	27086	71003865	71633140	629276	-	68	upstream	68	FOXP1
chr3	72897488	72897548	61	*	X0618	55164	72798428	72897598	99171	-	0	inside	49	SHQ1
chr3	72937078	72937082	5	*	X0619	727936	72937385	73024522	87138	+	302	upstream	302	GXYLT2
chr3	81810405	81810655	251	*	X0620	2632	81538850	81810950	272101	-	0	inside	294	GBE1
chr3	88198699	88198943	245	*	X0621	285237	88198893	88207115	8223	+	0	overlapStart	0	C3orf38
chr3	88198699	88198943	245	*	X0621	8545	88101100	88199016	97917	-	0	inside	72	CGGBP1
chr3	97483381	97483469	89	*	X0623	84100	97483595	97519953	36359	+	125	upstream	125	ARL6
chr3	97483493	97483676	184	*	X0624	84100	97483595	97519953	36359	+	0	overlapStart	0	ARL6
chr3	100211681	100211717	37	*	X0625	55076	100211463	100296285	84823	+	0	inside	217	TMEM45A
chr3	101292411	101292431	21	*	X0626	57092	101293042	101313281	20240	+	610	upstream	610	PCNP
chr3	101395360	101395424	65	*	X0627	100009676	101395274	101398057	2784	+	0	inside	85	ZBTB11-AS1
chr3	101395436	101395489	54	*	X0628	100009676	101395274	101398057	2784	+	0	inside	161	ZBTB11-AS1
chr3	110790485	110790558	74	*	X0630	100506555	110764163	110788806	24644	-	1678	upstream	1678	NECTIN3-AS1
chr3	110790485	110790558	74	*	X0630	25945	110790606	110913016	122411	+	47	upstream	47	NECTIN3
chr3	112280524	112280761	238	*	X0632	55032	112280857	112303284	22428	+	95	upstream	95	SLC35A5
chr3	112280524	112280761	238	*	X0632	64422	112251357	112280485	29129	-	38	upstream	38	ATG3
chr3	112930545	112930780	236	*	X0634	91653	112930412	113006305	75894	+	0	inside	132	BOC
chr3	113464960	113465082	123	*	X0635	523	113465866	113530905	65040	+	783	upstream	783	ATP6V1A
chr3	113464960	113465082	123	*	X0635	80218	113435307	113465120	29814	-	0	inside	37	NAA50
chr3	113465128	113465170	43	*	X0636	523	113465866	113530905	65040	+	695	upstream	695	ATP6V1A
chr3	113465128	113465170	43	*	X0636	80218	113435307	113465120	29814	-	7	upstream	7	NAA50
chr3	119814413	119814418	6	*	X0637	2932	119540802	119813264	272463	-	1148	upstream	1148	GSK3B
chr3	120068391	120068427	37	*	X0638	116064	120043576	120068186	24611	-	204	upstream	204	LRRC58
chr3	122233596	122233650	55	*	X0639	3836	122140748	122233786	93039	-	0	inside	135	KPNA1
chr3	122513913	122514111	199	*	X0640	79663	122458844	122512666	53823	-	1246	upstream	1246	HSPBAP1
chr3	122513913	122514111	199	*	X0640	84925	122513901	122599986	86086	+	0	inside	11	SLC49A4
chr3	124606140	124606228	89	*	X0641	3693	124481795	124606144	124350	-	0	overlapStart	0	ITGB5
chr3	127309493	127309519	27	*	X0644	131601	127291907	127309602	17696	-	0	inside	82	TPRA1
chr3	127541636	127541827	192	*	X0645	11343	127407905	127542093	134189	-	0	inside	265	MGLL
chr3	127872085	127872473	389	*	X0647	60678	127872313	128127489	255177	+	0	overlapStart	0	EEFSEC
chr3	127872085	127872473	389	*	X0647	8607	127783628	127872757	89130	-	0	inside	283	RUVBL1
chr3	129033682	129033704	23	*	X0649	339942	129035114	129043412	8299	+	1409	upstream	1409	H1FX-AS1
chr3	129033721	129033733	13	*	X0650	339942	129035114	129043412	8299	+	1380	upstream	1380	H1FX-AS1
chr3	129033807	129033884	78	*	X0651	339942	129035114	129043412	8299	+	1229	upstream	1229	H1FX-AS1
chr3	129033937	129033999	63	*	X0652	339942	129035114	129043412	8299	+	1114	upstream	1114	H1FX-AS1
chr3	129034060	129034177	118	*	X0653	339942	129035114	129043412	8299	+	936	upstream	936	H1FX-AS1
chr3	132136432	132136435	4	*	X0654	23317	132136553	132257876	121324	+	117	upstream	117	DNAJC13
chr3	132378919	132379268	350	*	X0655	84129	132276982	132378975	101994	-	0	overlapStart	0	ACAD11
chr3	132440784	132440920	137	*	X0656	348808	132441186	132593050	151865	+	265	upstream	265	NPHP3-AS1
chr3	135684149	135684166	18	*	X0657	5523	135684515	135866752	182238	+	348	upstream	348	PPP2R3A
chr3	135684275	135684316	42	*	X0658	5523	135684515	135866752	182238	+	198	upstream	198	PPP2R3A
chr3	135684334	135684364	31	*	X0659	5523	135684515	135866752	182238	+	150	upstream	150	PPP2R3A
chr3	141595520	141595656	137	*	X0663	483	141595470	141645382	49913	+	0	inside	49	ATP1B3
chr3	141595708	141595735	28	*	X0664	483	141595470	141645382	49913	+	0	inside	237	ATP1B3
chr3	142166797	142166802	6	*	X0665	54464	142025449	142166853	141405	-	0	inside	50	XRN1
chr3	142297834	142297902	69	*	X0666	545	142168077	142297668	129592	-	165	upstream	165	ATR
chr3	150126022	150126037	16	*	X0668	9819	150126788	150177615	50828	+	750	upstream	750	TSC22D2
chr3	150126217	150126251	35	*	X0669	9819	150126788	150177615	50828	+	536	upstream	536	TSC22D2
chr3	150126328	150126478	151	*	X0670	9819	150126788	150177615	50828	+	309	upstream	309	TSC22D2
chr3	150126600	150126864	265	*	X0671	9819	150126788	150177615	50828	+	0	overlapStart	0	TSC22D2
chr3	150126984	150127111	128	*	X0672	9819	150126788	150177615	50828	+	0	inside	195	TSC22D2
chr3	150321455	150321501	47	*	X0673	27230	150259780	150320961	61182	-	493	upstream	493	SERP1
chr3	150803629	150803652	24	*	X0674	116931	150803451	151154465	351015	+	0	inside	177	MED12L
chr3	152879819	152879820	2	*	X0675	5912	152880029	152886263	6235	+	208	upstream	208	RAP2B
chr3	153839236	153839295	60	*	X0676	100507524	153742190	153838999	96810	-	236	upstream	236	ARHGEF26-AS1
chr3	155572096	155572166	71	*	X0677	9197	155544301	155572248	27948	-	0	inside	81	SLC33A1
chr3	156806653	156806745	93	*	X0680	100498859	156807670	156818924	11255	+	924	upstream	924	LINC00881
chr3	156806757	156806767	11	*	X0681	100498859	156807670	156818924	11255	+	902	upstream	902	LINC00881
chr3	160117507	160117522	16	*	X0687	10051	160117430	160152741	35312	+	0	inside	76	SMC4
chr3	160117633	160117692	60	*	X0688	10051	160117430	160152741	35312	+	0	inside	202	SMC4
chr3	160167629	160168046	418	*	X0689	286827	160153291	160167626	14336	-	2	upstream	2	TRIM59
chr3	160167629	160168046	418	*	X0689	57560	159945241	160167626	222386	-	2	upstream	2	IFT80
chr3	160168062	160168097	36	*	X0690	286827	160153291	160167626	14336	-	435	upstream	435	TRIM59
chr3	160168062	160168097	36	*	X0690	57560	159945241	160167626	222386	-	435	upstream	435	IFT80
chr3	169490005	169490100	96	*	X0694	55892	169490853	169507504	16652	+	752	upstream	752	MYNN
chr3	170075506	170075542	37	*	X0695	6498	170075473	170114637	39165	+	0	inside	32	SKIL
chr3	170626598	170626929	332	*	X0696	56648	170606204	170626426	20223	-	171	upstream	171	EIF5A2
chr3	176914949	176915065	117	*	X0701	79718	176738542	176915048	176507	-	0	overlapStart	0	TBL1XR1
chr3	179169188	179169204	17	*	X0704	59345	179113876	179169371	55496	-	0	inside	166	GNB4
chr3	179371126	179371384	259	*	X0705	8975	179370933	179507189	136257	+	0	inside	192	USP13
chr3	181429427	181429437	11	*	X0706	6657	181429712	181432223	2512	+	274	upstream	274	SOX2
chr3	181429667	181429776	110	*	X0707	6657	181429712	181432223	2512	+	0	overlapStart	0	SOX2
chr3	183851887	183851936	50	*	X0708	8893	183852810	183863099	10290	+	873	upstream	873	EIF2B5
chr3	183851953	183851999	47	*	X0709	8893	183852810	183863099	10290	+	810	upstream	810	EIF2B5
chr3	184079572	184079590	19	*	X0710	1181	184063973	184079439	15467	-	132	upstream	132	CLCN2
chr3	184079572	184079590	19	*	X0710	5437	184081194	184086363	5170	+	1603	upstream	1603	POLR2H
chr3	185216547	185216776	230	*	X0711	90407	185207389	185216845	9457	-	0	inside	68	TMEM41A
chr3	185655550	185655742	193	*	X0713	6434	185632358	185655924	23567	-	0	inside	181	TRA2B
chr3	185656213	185656227	15	*	X0714	6434	185632358	185655924	23567	-	288	upstream	288	TRA2B
chr3	185826688	185826709	22	*	X0715	2119	185764106	185826901	62796	-	0	inside	191	ETV5
chr3	185826729	185826783	55	*	X0716	2119	185764106	185826901	62796	-	0	inside	117	ETV5
chr3	191047033	191047081	49	*	X0718	152137	191046874	191116459	69586	+	0	inside	158	CCDC50
chr3	192958567	192958573	7	*	X0721	57110	192958917	192988644	29728	+	343	upstream	343	PLAAT1
chr3	192958567	192958573	7	*	X0721	84789	192959568	192961761	2194	+	994	upstream	994	MGC2889
chr3	194030677	194030701	25	*	X0723	100131551	194017424	194030593	13170	-	83	upstream	83	LINC00887
chr3	194393370	194393446	77	*	X0725	55341	194361517	194393206	31690	-	163	upstream	163	LSG1
chr3	194991953	194991980	28	*	X0728	152002	194789013	194991895	202883	-	57	upstream	57	XXYLT1
chr3	195808610	195808751	142	*	X0729	7037	195776155	195809032	32878	-	0	inside	280	TFRC
chr3	195808796	195808841	46	*	X0730	7037	195776155	195809032	32878	-	0	inside	190	TFRC
chr3	196159423	196159506	84	*	X0731	26043	196080369	196159345	78977	-	77	upstream	77	UBXN7
chr3	196230348	196230512	165	*	X0734	165918	196195657	196230639	34983	-	0	inside	126	RNF168
chr3	196669698	196669707	10	*	X0737	152217	196669494	196670884	1391	+	0	inside	203	NCBP2AS2
chr3	196669698	196669707	10	*	X0737	22916	196662273	196669464	7192	-	233	upstream	233	NCBP2
chr3	197476816	197476924	109	*	X0738	9711	197398259	197476568	78310	-	247	upstream	247	RUBCN
chr3	197518102	197518378	277	*	X0739	84859	197518145	197611043	92899	+	0	overlapStart	0	LRCH3
chr4	1004486	1004566	81	*	X0741	53834	1004940	1020686	15747	+	373	upstream	373	FGFRL1
chr4	1340482	1340608	127	*	X0743	57654	1341104	1381837	40734	+	495	upstream	495	UVSSA
chr4	1686332	1686344	13	*	X0744	152877	1641608	1685988	44381	-	343	upstream	343	FAM53A
chr4	1686416	1686431	16	*	X0745	152877	1641608	1685988	44381	-	427	upstream	427	FAM53A
chr4	1858178	1858291	114	*	X0747	3954	1813206	1857974	44769	-	203	upstream	203	LETM1
chr4	2243723	2243758	36	*	X0748	353497	2073645	2243860	170216	-	0	inside	101	POLN
chr4	2243723	2243758	36	*	X0748	79441	2229191	2243860	14670	-	0	inside	101	HAUS3
chr4	2244124	2244167	44	*	X0749	353497	2073645	2243860	170216	-	263	upstream	263	POLN
chr4	2244124	2244167	44	*	X0749	79441	2229191	2243860	14670	-	263	upstream	263	HAUS3
chr4	2245484	2245582	99	*	X0750	353497	2073645	2243860	170216	-	1623	upstream	1623	POLN
chr4	2245484	2245582	99	*	X0750	79441	2229191	2243860	14670	-	1623	upstream	1623	HAUS3
chr4	2245654	2245781	128	*	X0751	353497	2073645	2243860	170216	-	1793	upstream	1793	POLN
chr4	2245654	2245781	128	*	X0751	79441	2229191	2243860	14670	-	1793	upstream	1793	HAUS3
chr4	3294339	3294346	8	*	X0753	6002	3294755	3441640	146886	+	408	upstream	408	RGS12
chr4	6717797	6717949	153	*	X0755	55330	6717842	6719387	1546	+	0	overlapStart	0	BLOC1S4
chr4	25314144	25314241	98	*	X0758	29063	25314396	25372005	57610	+	154	upstream	154	ZCCHC4
chr4	39699541	39699548	8	*	X0759	3093	39699664	39784410	84747	+	115	upstream	115	UBE2K
chr4	40057776	40057988	213	*	X0760	55728	40058524	40159872	101349	+	535	upstream	535	N4BP2
chr4	53526085	53526119	35	*	X0766	64854	53457127	53525502	68376	-	582	upstream	582	USP46
chr4	54930492	54930689	198	*	X0767	26511	54875958	54930815	54858	-	0	inside	125	CHIC2
chr4	56815082	56815107	26	*	X0768	9662	56814974	56899529	84556	+	0	inside	107	CEP135
chr4	56815195	56815371	177	*	X0769	9662	56814974	56899529	84556	+	0	inside	220	CEP135
chr4	66536002	66536236	235	*	X0772	2044	66185281	66535653	350373	-	348	upstream	348	EPHA5
chr4	71859353	71859556	204	*	X0775	1633	71859265	71896629	37365	+	0	inside	87	DCK
chr4	73935025	73935304	280	*	X0776	285521	73920416	73935472	15057	-	0	inside	167	COX18
chr4	76598319	76598512	194	*	X0777	9908	76567953	76598667	30715	-	0	inside	154	G3BP2
chr4	76598773	76598807	35	*	X0778	9908	76567953	76598667	30715	-	105	upstream	105	G3BP2
chr4	77134706	77134747	42	*	X0779	100129583	77135193	77204936	69744	+	445	upstream	445	FAM47E
chr4	77134769	77134881	113	*	X0780	100129583	77135193	77204936	69744	+	311	upstream	311	FAM47E
chr4	77134769	77134881	113	*	X0780	950	77079892	77135052	55161	-	0	inside	170	SCARB2
chr4	78783641	78783652	12	*	X0783	65008	78783805	78873944	90140	+	152	upstream	152	MRPL1
chr4	83295734	83295762	29	*	X0784	3184	83274467	83295149	20683	-	584	upstream	584	HNRNPD
chr4	83822073	83822151	79	*	X0786	100499177	83814605	83822069	7465	-	3	upstream	3	THAP9-AS1
chr4	83822073	83822151	79	*	X0786	22872	83739814	83822069	82256	-	3	upstream	3	SEC31A
chr4	83822073	83822151	79	*	X0786	79725	83821837	83841438	19602	+	0	inside	235	THAP9
chr4	83933984	83934014	31	*	X0790	132660	83845756	83934040	88285	-	0	inside	25	LIN54
chr4	84406464	84406523	60	*	X0791	84142	84382094	84406290	24197	-	173	upstream	173	ABRAXAS1
chr4	89378252	89378395	144	*	X0793	51191	89378268	89427319	49052	+	0	overlapStart	0	HERC5
chr4	90032476	90032486	11	*	X0796	10144	89647105	90032549	385445	-	0	inside	62	FAM13A
chr4	90032476	90032486	11	*	X0796	166815	90033968	90036052	2085	+	1481	upstream	1481	TIGD2
chr4	91048335	91048392	58	*	X0797	401145	91048684	92523370	1474687	+	291	upstream	291	CCSER1
chr4	103790397	103790601	205	*	X0803	493856	103790135	103813963	23829	+	0	inside	261	CISD2
chr4	103790397	103790601	205	*	X0803	7323	103717133	103790032	72900	-	364	upstream	364	UBE2D3
chr4	106067172	106067213	42	*	X0804	54790	106067032	106200960	133929	+	0	inside	139	TET2
chr4	106067242	106067266	25	*	X0805	54790	106067032	106200960	133929	+	0	inside	209	TET2
chr4	106067285	106067513	229	*	X0806	54790	106067032	106200960	133929	+	0	inside	252	TET2
chr4	108641257	108641304	48	*	X0808	9061	108534822	108641419	106598	-	0	inside	114	PAPSS1
chr4	110354560	110354646	87	*	X0811	10427	110354971	110461615	106645	+	324	upstream	324	SEC24B
chr4	123844171	123844246	76	*	X0813	11162	123813799	123844159	30361	-	11	upstream	11	NUDT6
chr4	123844171	123844246	76	*	X0813	166378	123844225	124240604	396380	+	0	overlapStart	0	SPATA5
chr4	125633716	125633749	34	*	X0814	57182	125585204	125633887	48684	-	0	inside	137	ANKRD50
chr4	126236143	126236355	213	*	X0815	79633	126237567	126414087	176521	+	1211	upstream	1211	FAT4
chr4	139936705	139936863	159	*	X0819	25819	139936943	139967095	30153	+	79	upstream	79	NOCT
chr4	139937208	139937431	224	*	X0820	25819	139936943	139967095	30153	+	0	inside	264	NOCT
chr4	140222731	140222750	20	*	X0824	80155	140222676	140311935	89260	+	0	inside	54	NAA15
chr4	141075605	141075611	7	*	X0826	55534	140637546	141075233	437688	-	371	upstream	371	MAML3
chr4	141075633	141075657	25	*	X0827	55534	140637546	141075233	437688	-	399	upstream	399	MAML3
chr4	144105686	144105707	22	*	X0829	84640	144106070	144143141	37072	+	362	upstream	362	USP38
chr4	144257950	144258064	115	*	X0830	2549	144257983	144395718	137736	+	0	overlapStart	0	GAB1
chr4	144258103	144258225	123	*	X0831	2549	144257983	144395718	137736	+	0	inside	119	GAB1
chr4	146402593	146402627	35	*	X0834	4086	146402951	146480325	77375	+	323	upstream	323	SMAD1
chr4	146402726	146403140	415	*	X0835	4086	146402951	146480325	77375	+	0	overlapStart	0	SMAD1
chr4	151936637	151936839	203	*	X0836	987	151185811	151936649	750839	-	0	overlapStart	0	LRBA
chr4	159644652	159644716	65	*	X0840	5481	159630279	159644552	14274	-	99	upstream	99	PPID
chr4	164415886	164416003	118	*	X0841	55319	164415673	164441691	26019	+	0	inside	212	TMA16
chr4	174255424	174255449	26	*	X0844	3148	174252527	174255595	3069	-	0	inside	145	HMGB2
chr4	174291180	174291210	31	*	X0845	8819	174292093	174298683	6591	+	882	upstream	882	SAP30
chr4	177241271	177241343	73	*	X0848	60559	177241090	177253396	12307	+	0	inside	180	SPCS3
chr4	184021250	184021270	21	*	X0849	152641	184018174	184020352	2179	-	897	upstream	897	WWC2-AS2
chr4	184426513	184426542	30	*	X0850	3622	184426220	184432249	6030	+	0	inside	292	ING2
chr4	184426513	184426542	30	*	X0850	389247	184415890	184425668	9779	-	844	upstream	844	LOC389247
chr4	184826298	184826312	15	*	X0851	56977	184826509	184938875	112367	+	196	upstream	196	STOX2
chr4	184826344	184826372	29	*	X0852	56977	184826509	184938875	112367	+	136	upstream	136	STOX2
chr4	185570425	185570470	46	*	X0853	201973	185570767	185616112	45346	+	296	upstream	296	PRIMPOL
chr4	185570425	185570470	46	*	X0853	836	185548850	185570629	21780	-	0	inside	158	CASP3
chr4	186317216	186317547	332	*	X0854	353322	186317840	186321782	3943	+	292	upstream	292	ANKRD37
chr4	187112407	187112757	351	*	X0855	285440	187112674	187134617	21944	+	0	overlapStart	0	CYP4V2
chr4	187112407	187112757	351	*	X0855	651430	187110186	187112644	2459	-	0	overlapStart	0	FLJ38576
chr5	1800066	1800243	178	*	X0861	4726	1801496	1816167	14672	+	1252	upstream	1252	NDUFS6
chr5	1800066	1800243	178	*	X0861	64979	1798499	1799956	1458	-	109	upstream	109	MRPL36
chr5	6712903	6712934	32	*	X0863	11044	6714718	6757161	42444	+	1783	upstream	1783	TENT4A
chr5	6712957	6713064	108	*	X0864	11044	6714718	6757161	42444	+	1653	upstream	1653	TENT4A
chr5	10353342	10353512	171	*	X0866	10299	10353751	10440500	86750	+	238	upstream	238	MARCHF6
chr5	10442047	10442143	97	*	X0867	100505845	10440847	10441963	1117	-	83	upstream	83	ROPN1L-AS1
chr5	10442047	10442143	97	*	X0867	83853	10441974	10465138	23165	+	0	inside	72	ROPN1L
chr5	17216699	17216720	22	*	X0870	10409	17216932	17276954	60023	+	211	upstream	211	BASP1
chr5	17216995	17217013	19	*	X0871	10409	17216932	17276954	60023	+	0	inside	62	BASP1
chr5	17217067	17217083	17	*	X0872	10409	17216932	17276954	60023	+	0	inside	134	BASP1
